CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,credit_utilization,payment_ratio,purchase_frequncy,average_transaction_value,oneoff_purchase_ratio,installments_purchase_ratio,main_purchase_type,customer_segment
C10015,7.927963670337596,1.0,0.0,0.0,0.0,5.851660350090109,0.0,0.0,0.0,0.0800423999811814,0.6931471805599453,0.0,8.006700845440367,6.692887357486858,6.898677062386753,0.0,12,0.990166090050984,0.9701696857181632,0.0,0.0,0.0,0.0,Mixed,"High Util, Low Repay"
C10016,8.83742181644191,1.0,7.38566507198647,0.0,7.38566507198647,7.741746975288393,0.5,0.0,0.5,0.1541509655415032,1.6094379124341003,2.4849066497880004,8.987321812850125,7.598118225657629,7.654872750325277,0.0,12,0.9833209492739109,0.9925858304221665,1.0482125712215855,2.9722102730163233,0.0,1.0,Installment,"High Util, Low Repay"
C10017,7.636787979616954,0.875,0.0,0.0,0.0,7.932101784121888,0.0,0.0,0.0,0.22314355131420976,1.3862943611198906,0.0,8.006700845440367,5.973744882038962,5.933781489490081,0.0,8,0.95379958949833,1.0067348945389485,0.0,0.0,0.0,0.0,Mixed,Typical
C10018,3.739798042057795,0.454545,6.253828811575473,0.0,6.253828811575473,0.0,0.416667,0.0,0.333333,0.0,0.0,2.1972245773362196,7.824445930877619,5.543577188189688,4.306807558934665,0.22314355131420976,12,0.4779633056571362,1.2871662158875172,0.0,2.846240150452546,0.0,1.0,Installment,Installments Only
C10019,7.59592621253726,1.0,6.225251258520672,5.117993812416755,5.827032023149767,0.0,0.666667,0.0800423999811814,0.583333,0.0,0.0,2.302585092994046,9.472781556562168,7.451147239761315,6.614207228607001,0.0,12,0.8018686134776605,1.1265367083653621,0.0,2.7035922700368014,0.8221344970472665,0.9360316204384762,Installment,Installments Only
C10020,8.182830589190715,1.0,5.990564141864818,0.0,5.990564141864818,0.0,1.0,0.0,1.0,0.0,0.0,2.5649493574615367,8.294299608857235,6.96127752820317,9.430804286668868,0.0,12,0.9865607676448671,0.7381425079559168,0.0,2.3355487017465024,0.0,1.0,Installment,"High Util, Low Repay"
C10021,7.609705937961825,1.0,5.179984179586172,0.0,5.179984179586172,0.0,0.666667,0.0,0.666667,0.0,0.0,2.1972245773362196,7.601402334583733,5.411952254970081,9.514753982813254,0.0,12,1.0010923778288003,0.5687958159239672,0.0,2.3575123967828846,0.0,1.0,Installment,"High Util, Low Repay"
C10022,8.75943815450699,1.0,8.757933016248602,8.684577067845966,6.111267763047603,5.438202105731185,1.0,0.6505877400541777,1.0,0.28768182245174967,1.9459101490553132,4.532599493153256,9.328212292571072,7.639622591175338,7.415039685031398,0.0,12,0.9390264586369834,1.0302874853923305,0.6209458436872813,1.9322097682528419,0.9916240569245576,0.6977979566307896,Oneoff,Oneoff Only
C10023,4.892919056208852,0.636364,6.705516688347823,0.0,6.705516688347823,0.0,1.0,0.0,1.0,0.0,0.0,2.8903717578961645,7.496097345175956,7.766683793755752,4.469688939347446,0.0,12,0.6527288575511422,1.7376340723365087,0.0,2.3199495601315365,0.0,1.0,Installment,Installments Only
C10024,8.24305929376845,0.818182,8.354521309045298,8.147739807003912,6.67807792881693,8.984119042407901,1.0,0.0800423999811814,0.916667,0.28768182245174967,2.639057329615259,2.639057329615259,9.105090961257085,9.156944219921918,7.262927662141595,0.0,12,0.9053242113498206,1.2607786619785555,1.0753601205949344,3.1657217959199397,0.9752491502035542,0.7993369915265748,Oneoff,Oneoff Only
C10025,8.588503336828897,1.0,0.0,0.0,0.0,6.684549054454003,0.0,0.0,0.0,0.3101546616371373,1.6094379124341003,0.0,8.699681400989514,7.261033154311494,7.413369070916895,0.0,11,0.9872204441707518,0.9794511894459667,0.0,0.0,0.0,0.0,Mixed,"High Util, Low Repay"
C10026,5.140386009793119,1.0,5.992963423231718,0.0,5.992963423231718,0.0,1.0,0.0,1.0,0.0,0.0,2.5649493574615367,8.006700845440367,5.3766947283025095,5.099900183352036,0.0,12,0.64201049958304,1.0542745024410545,0.0,2.336484112560724,0.0,1.0,Installment,Installments Only
C10027,7.388307599631616,1.0,4.634728988229636,4.634728988229636,0.0,5.504682890648139,0.166667,0.1541509655415032,0.0,0.22314355131420976,1.791759469228055,1.0986122886681096,7.438971592395862,6.792545131234186,6.879544273324582,0.0,12,0.9931893821430862,0.9873539381921365,1.1877032949775141,4.218712129871129,1.0,0.0,Oneoff,"High Util, Low Repay"
C10028,4.841781178834473,1.0,5.456516981221582,0.0,5.456516981221582,0.0,1.0,0.0,1.0,0.0,0.0,2.5649493574615367,6.90875477931522,5.341250962068848,5.110473503852051,0.0,12,0.7008182130491507,1.0451577447848712,0.0,2.1273390702036137,0.0,1.0,Installment,Installments Only
C10029,8.87540796129427,1.0,5.961134197300148,5.325689313343887,5.212214667494625,7.7129558941159795,0.666667,0.1541509655415032,0.416667,0.6061356217521172,2.833213344056216,2.1972245773362196,9.259225769705994,7.3792879555140285,7.408440468896529,0.0,12,0.9585475267632543,0.996064959487102,1.2938738902421032,2.71302909078464,0.8934020166423934,0.8743662690659245,Mixed,"High Util, Low Repay"
C10030,3.1382508477086843,1.0,4.61512051684126,0.0,4.61512051684126,0.0,0.416667,0.0,0.416667,0.0,0.0,1.791759469228055,8.839421607620602,5.086161806788292,5.079442454117678,0.0,12,0.3550289811952345,1.0013228524058122,0.0,2.5757478032637917,0.0,1.0,Installment,Installments Only
C10031,9.40403204003681,1.0,8.019287083467484,6.921855403360919,7.613724899561967,8.066076727735902,1.0,0.1541509655415032,1.0,0.4054651081081644,2.3978952727983707,4.174387269895637,9.472781556562168,8.350270105136044,8.099558846593096,0.0,12,0.9927424150852785,1.0309536930703829,1.0058346388876487,1.9210692647757075,0.8631509673261325,0.9494266535560721,Installment,Installments Only
C10032,7.05899314124371,1.0,7.206903859042666,5.993961427306569,6.855103167083238,5.175108258224256,1.0,0.0800423999811814,1.0,0.1541509655415032,1.0986122886681096,3.828641396489095,8.699681400989514,6.472343665440258,5.5523741073615245,0.0,12,0.8114082362189505,1.1656894042602437,0.7180764943507509,1.8823658610731926,0.8316971538042387,0.9511855994140929,Installment,Installments Only
C10033,8.81489832435355,1.0,5.786743995370548,5.786743995370548,0.0,7.08215701747797,0.083333,0.0800423999811814,0.0,0.1541509655415032,1.3862943611198906,1.3862943611198906,9.259225769705994,7.45072986762036,7.82713936789029,0.0,12,0.9520124623371666,0.9519096974542072,1.2238587058877608,4.174253432507538,1.0,0.0,Oneoff,"High Util, Low Repay"
C10034,4.841509907585915,1.0,6.458009075556836,6.458009075556836,0.0,0.0,0.916667,0.6505877400541777,0.0,0.0,0.0,2.4849066497880004,7.0909098220799835,6.050793496962728,5.2847349669616435,0.26236426446749106,12,0.6827769678455381,1.1449568492630606,0.0,2.5988940373707,1.0,0.0,Oneoff,Oneoff Only
C10035,8.16567680947387,0.727273,6.30678610536318,0.0,6.30678610536318,0.0,1.0,0.0,1.0,0.0,0.0,2.70805020110221,9.305741456739435,9.07527727374647,9.790518068068778,0.0,12,0.8774880376200541,0.9269455620887903,0.0,2.3289029512068278,0.0,1.0,Installment,"High Util, Low Repay"
C10036,7.412975691461382,1.0,0.0,0.0,0.0,4.6078103676392335,0.0,0.0,0.0,0.0800423999811814,0.6931471805599453,0.0,7.496097345175956,5.865051186791171,6.454521149985232,0.0,12,0.9889113428111941,0.9086733237839945,0.0,0.0,0.0,0.0,Mixed,"High Util, Low Repay"
C10037,8.913022280658046,1.0,0.0,0.0,0.0,9.090923194512087,0.0,0.0,0.0,0.5465438642627942,2.4849066497880004,0.0,9.105090961257085,7.400841445464237,7.594805716113981,0.0,11,0.9789053529046214,0.9744609305491242,0.0,0.0,0.0,0.0,Mixed,"High Util, Low Repay"
C10038,8.306096985533877,1.0,7.775506815191631,7.404382581948235,6.605811997178087,7.43759551434736,0.75,0.4054651081081644,0.75,0.28768182245174967,2.0794415416798357,3.7376696182833684,8.517393171418904,7.389498735985844,7.340927381943288,0.0,12,0.9751923879017285,1.0066165147147523,0.9565415722890158,2.0803087509812475,0.9522700909324264,0.8495667426169292,Oneoff,Oneoff Only
C10039,8.743598321036485,1.0,5.3230099791384085,5.3230099791384085,0.0,7.981630740265749,0.083333,0.0800423999811814,0.0,0.28768182245174967,2.5649493574615367,1.0986122886681096,9.105090961257085,7.121342643846067,7.625794485906742,0.0,12,0.9602977453208561,0.9338492739355939,1.4994581583628122,4.845212486737883,1.0,0.0,Oneoff,"High Util, Low Repay"
C10040,7.253188835622875,0.454545,6.871340226280088,6.871340226280088,0.0,8.728212804225999,0.083333,0.0800423999811814,0.0,0.28768182245174967,1.9459101490553132,1.9459101490553132,8.922791623969637,9.907084846508704,6.580568378887042,0.28768182245174967,12,0.8128833599720469,1.5055059496523717,1.2702344108714232,3.531170352143925,1.0,0.0,Oneoff,Oneoff Only
C10041,6.4989563348130215,0.727273,0.0,0.0,0.0,8.050085822835518,0.0,0.0,0.0,0.22314355131420976,1.3862943611198906,0.0,7.496097345175956,8.028800011722797,5.650147651555028,0.1541509655415032,12,0.8669786470949933,1.4209894160045744,0.0,0.0,0.0,0.0,Mixed,Typical
C10043,6.666816530684591,0.909091,7.331446609113647,6.668609370190421,6.608391911756496,7.691391768051934,0.583333,0.34830692956230574,0.333333,0.22314355131420976,2.4849066497880004,3.332204510175204,8.006700845440367,7.141490275195939,5.897545922641265,0.1053604156578213,12,0.8326546300878958,1.210925759438184,1.049096062227452,2.200179066658837,0.909589843005982,0.9013762582055321,Oneoff,Oneoff Only
C10044,8.320134161099263,1.0,5.322131544647291,5.322131544647291,0.0,0.0,0.083333,0.0800423999811814,0.0,0.0,0.0,0.6931471805599453,8.412054873292933,6.767659847255586,7.4967993979574,0.0,12,0.9890727398265667,0.9027398877845821,0.0,7.6782127864213665,1.0,0.0,Oneoff,"High Util, Low Repay"
C10045,7.216520318304293,1.0,0.0,0.0,0.0,7.3015438765324925,0.0,0.0,0.0,0.0800423999811814,0.6931471805599453,0.0,7.313886831633462,5.938312228436658,5.7756507455504975,0.0,12,0.9866874460091389,1.028163317010031,0.0,0.0,0.0,0.0,Mixed,Typical
C10046,8.578654280990072,1.0,7.330693505801399,6.154433375386121,6.962849341291709,0.0,1.0,0.28768182245174967,1.0,0.0,0.0,3.044522437723423,9.04793908261736,7.266367396088755,7.185171022558634,0.0,12,0.9481335144564729,1.0113005484873216,0.0,2.4078303431007098,0.8395431306077108,0.9498213689852694,Installment,Installments Only
C10047,7.715708484295577,1.0,6.082218910376446,4.584967478670572,5.831882477283517,5.223856135082514,0.333333,0.0800423999811814,0.333333,0.1541509655415032,1.0986122886681096,1.791759469228055,7.783640596221253,0.0,5.747301459426504,0.0,12,0.9912724500719298,0.0,0.8588734164386059,3.394551006892043,0.753831380657556,0.958841265534549,Installment,"High Util, Low Repay"
C10048,6.1642557275430345,0.5,4.707185111394821,0.0,4.707185111394821,6.92230841846234,0.375,0.0,0.25,0.11778303565638346,0.6931471805599453,1.3862943611198906,7.438971592395862,5.1762232044509755,4.99856130935223,0.0,8,0.8286435364055099,1.0355426059827142,1.4705834282372503,3.395516308377836,0.0,1.0,Installment,Installments Only
C10049,8.271576816437468,1.0,0.0,0.0,0.0,7.591797737565931,0.0,0.0,0.0,0.4054651081081644,2.0794415416798357,0.0,8.343077871169383,0.0,5.747301459426504,0.0,12,0.9914298948378516,0.0,0.0,0.0,0.0,0.0,Mixed,"High Util, Low Repay"
C10050,5.441842562471876,1.0,7.77971787700675,7.24703072579297,6.896360605568251,0.0,1.0,0.5108258237659706,1.0,0.0,0.0,4.477336814478207,8.101980731853192,7.841867680880996,5.1742146694558455,0.6505877400541777,12,0.6716681688808639,1.5155667442970042,0.0,1.7375770908835246,0.9315287315510301,0.8864538167830874,Oneoff,Oneoff Only
C10051,6.762509636519377,1.0,6.2314652154886145,6.2314652154886145,0.0,6.545489246856135,0.166667,0.1541509655415032,0.0,0.0800423999811814,1.0986122886681096,1.3862943611198906,8.294299608857235,6.37819941940262,5.661044475632165,0.0800423999811814,12,0.8153201542536388,1.1266824429409505,1.0503932896210346,4.49505198192875,1.0,0.0,Oneoff,Oneoff Only
C10052,8.50356714851695,1.0,6.805080043618763,6.4724544803023925,5.546543698229709,9.051537894261187,0.625,0.3184537311185346,0.25,0.6286086594223741,3.6375861597263857,2.302585092994046,9.392745258631441,9.001382889138817,6.921082042868441,0.0,8,0.9053335222418193,1.3005745103706638,1.3301148313088493,2.955408711853569,0.9511209917907903,0.8150592884547766,Oneoff,Oneoff Only
C10053,6.98461313423923,1.0,8.042008161870061,7.706495948059624,6.787968988149286,0.0,0.666667,0.4595321188521022,0.5,0.0,0.0,2.9444389791664403,7.824445930877619,7.244819012063394,7.187994674045495,0.0,12,0.8926655249384297,1.0079054507682208,0.0,2.7312531245414786,0.9582800455984095,0.8440639267606556,Oneoff,Oneoff Only
C10054,7.356714711115268,1.0,0.0,0.0,0.0,5.775666250117309,0.0,0.0,0.0,0.22314355131420976,1.3862943611198906,0.0,8.160803920954665,6.540777844746521,6.3672981411811636,0.0,12,0.9014693628681949,1.0272454186562052,0.0,0.0,0.0,0.0,Mixed,Typical
C10055,6.143486153494597,0.888889,7.590963228627309,7.590963228627309,0.0,7.591995663032507,0.666667,0.5108258237659706,0.0,0.1053604156578213,0.6931471805599453,2.4849066497880004,8.006700845440367,8.042716450145122,4.893697583551904,0.18232155679395462,9,0.7672930801446356,1.6434845661851507,1.0001360083528403,3.0548283289736182,1.0,0.0,Oneoff,Oneoff Only
C10056,2.0360794749475026,0.636364,5.739792912179234,0.0,5.739792912179234,0.0,0.666667,0.0,0.666667,0.0,0.0,2.1972245773362196,6.90875477931522,6.035521534591471,5.747301459426504,0.0,12,0.294710051230001,1.0501487658511872,0.0,2.612292330690114,0.0,1.0,Installment,Installments Only
C10057,7.180066815653793,1.0,7.158436173289435,7.158436173289435,0.0,0.0,0.25,0.22314355131420976,0.0,0.0,0.0,1.9459101490553132,8.699681400989514,0.0,5.747301459426504,0.0,12,0.8253252601683921,0.0,0.0,3.6787084834131023,1.0,0.0,Oneoff,"High Util, Low Repay"
C10058,8.195945551115749,1.0,5.750252489041052,5.750252489041052,0.0,6.506484476961441,0.25,0.22314355131420976,0.0,0.34830692956230574,1.791759469228055,1.6094379124341003,8.294299608857235,0.0,5.747301459426504,0.0,12,0.9881419694995757,0.0,1.1315128317168042,3.5728327539795672,1.0,0.0,Oneoff,"High Util, Low Repay"
C10059,7.777931129105488,1.0,8.55998827810926,8.474304479372497,6.06269158764624,0.0,0.916667,0.6505877400541777,0.5,0.0,0.0,3.7612001156935624,8.922791623969637,8.644658907237051,7.179700330020578,0.0800423999811814,12,0.8716925662828809,1.2040417440670919,0.0,2.2758662168473336,0.9899901967207262,0.7082593329187798,Oneoff,Oneoff Only
C10060,8.287059960355426,1.0,0.0,0.0,0.0,5.418654989798585,0.0,0.0,0.0,0.1670539308170005,1.3862943611198906,0.0,8.294299608857235,6.64110217698512,7.3785162732295815,0.0,11,0.9991271537268707,0.9000592979756762,0.0,0.0,0.0,0.0,Mixed,"High Util, Low Repay"
C10061,8.611576407176658,1.0,5.438079308923196,0.0,5.438079308923196,6.878935275721404,0.416667,0.0,0.333333,0.28768182245174967,1.6094379124341003,1.9459101490553132,8.699681400989514,7.655180879929307,7.547515485462326,0.0,12,0.9898726183463644,1.0142650114033367,1.2649567770065338,2.7946199425308698,0.0,1.0,Installment,Installments Only
C10062,7.539087709835567,0.727273,4.736198448394496,4.736198448394496,0.0,0.0,0.166667,0.1541509655415032,0.0,0.0,0.0,1.0986122886681096,8.77971129020447,8.16356689875695,6.308291202529203,0.0,12,0.8586942623326274,1.2941011498460795,0.0,4.311073612817833,1.0,0.0,Oneoff,Oneoff Only
C10063,7.350383665303308,1.0,4.207673247529104,4.207673247529104,0.0,0.0,0.083333,0.0800423999811814,0.0,0.0,0.0,0.6931471805599453,7.3783837129967145,5.826246864544016,6.731275434910505,0.0,12,0.9962051244849078,0.8655487241433136,0.0,6.070389327891398,1.0,0.0,Oneoff,"High Util, Low Repay"
C10064,6.6977537147139135,0.909091,0.0,0.0,0.0,8.248181724327607,0.0,0.0,0.0,0.4353183653754494,2.0794415416798357,0.0,8.33110454805304,8.383238543060216,5.491601064749435,0.08701129365629297,11,0.8039454643837309,1.5265563620183902,0.0,0.0,0.0,0.0,Mixed,Typical
C10065,2.0983069652318713,0.090909,6.734591659972948,6.734591659972948,0.0,0.0,0.083333,0.0800423999811814,0.0,0.0,0.0,0.6931471805599453,7.3783837129967145,0.0,5.747301459426504,0.0,12,0.28438572007793406,0.0,0.0,9.715961990255146,1.0,0.0,Oneoff,Oneoff Only
C10067,7.562622442395542,1.0,7.54361227231452,0.0,7.54361227231452,7.382092859951851,1.0,0.0,1.0,0.0800423999811814,1.6094379124341003,4.127134385045092,7.523481312573497,8.213123166480717,8.091932469749297,0.0800423999811814,12,1.005202529014943,1.0149767311065034,0.9785885850793984,1.8278087332579311,0.0,1.0,Installment,Installments Only
C10068,7.472534847055442,1.0,6.024246305382325,5.787541345756266,4.478699521934143,0.0,0.583333,0.28768182245174967,0.166667,0.0,0.0,2.4849066497880004,7.496097345175956,6.657306880160869,6.801177849852037,0.0,12,0.9968566979542125,0.9788461685802999,0.0,2.4243350573737987,0.960707954551165,0.7434456187378455,Oneoff,"High Util, Low Repay"
C10069,6.698079941478827,0.875,0.0,0.0,0.0,6.812811001027565,0.0,0.0,0.0,0.11778303565638346,0.6931471805599453,0.0,7.313886831633462,4.990941090122055,5.195245856893709,0.0,8,0.9158030600786446,0.9606746682641484,0.0,0.0,0.0,0.0,Mixed,"High Util, Low Repay"
C10070,7.363472991848201,1.0,0.0,0.0,0.0,5.950404365369237,0.0,0.0,0.0,0.34830692956230574,1.9459101490553132,0.0,7.824445930877619,6.293460359333536,5.868968621963989,0.0,12,0.9410855486635442,1.0723281661075732,0.0,0.0,0.0,0.0,Mixed,Typical
C10071,8.291928286371425,1.0,5.577841251298354,5.25540986553676,4.302712827954156,0.0,0.666667,0.0800423999811814,0.583333,0.0,0.0,2.1972245773362196,8.699681400989514,8.836059376373083,6.91035925170048,0.0800423999811814,12,0.9531301095035836,1.2786685980470165,0.0,2.538584953414542,0.9421942340710142,0.7713939199959507,Oneoff,Oneoff Only
C10072,7.438639665474121,1.0,7.21868257559943,7.21868257559943,0.0,0.0,0.333333,0.28768182245174967,0.0,0.0,0.0,1.6094379124341003,7.438971592395862,7.393150071761594,6.829259398021747,0.0,12,0.9999553799987515,1.0825698133392314,0.0,4.485219665716682,1.0,0.0,Oneoff,Oneoff Only
C10073,8.610443746922588,1.0,6.040492778175336,0.0,6.040492778175336,6.439988164471771,0.916667,0.0,0.833333,0.28768182245174967,1.6094379124341003,2.4849066497880004,8.740496729931813,7.1617887144105605,7.687943025605707,0.0,12,0.9851206416491343,0.9315611068600899,1.066136224471592,2.43087311899249,0.0,1.0,Installment,"High Util, Low Repay"
C10074,8.00350420079196,0.909091,8.417211517152742,7.417634455007731,7.9586398388963815,10.214549880228592,0.666667,0.4054651081081644,0.583333,0.6061356217521172,3.332204510175204,3.5263605246161616,8.853808274977197,10.248271382681262,7.0103396674623175,0.37469313694136186,12,0.90396177014716,1.461879433638206,1.213531329159687,2.3869401493112905,0.8812460563563057,0.9455197630091777,Installment,Installments Only
C10075,6.487703820419449,1.0,0.0,0.0,0.0,7.2966504616584125,0.0,0.0,0.0,0.11778303565638346,1.3862943611198906,0.0,8.853808274977197,6.815045498706368,4.955708691441334,0.22314355131420976,8,0.7327585620704168,1.3751909006427614,0.0,0.0,0.0,0.0,Mixed,Typical
C10077,7.501066886022223,1.0,6.572142672772806,6.2227349856338,5.355736857415523,0.0,0.5,0.09531017980432487,0.4,0.0,0.0,2.1972245773362196,7.719129840906732,6.791241033321197,6.435761985266166,0.0,10,0.9717503190931046,1.0552349587925802,0.0,2.991111031872977,0.9468350423087225,0.8149148799832615,Oneoff,Oneoff Only
C10078,6.2791488389323,0.909091,6.675747556729456,6.24928001995347,5.621487231929371,0.0,0.272727,0.08701129365629297,0.181818,0.0,0.0,2.0794415416798357,8.699681400989514,7.174860061724275,5.173379480888368,0.0,11,0.7217676774023127,1.3868806818115371,0.0,3.2103559647734,0.9361168868127604,0.8420760647641113,Oneoff,Oneoff Only
C10079,8.676149498383959,1.0,6.333048695615371,5.523458920524919,5.74738460102608,0.0,0.833333,0.1541509655415032,0.75,0.0,0.0,2.70805020110221,8.699681400989514,7.596414904511969,7.678987070163475,0.0,12,0.9972950845529954,0.9892469976968266,0.0,2.3386009214444186,0.8721642902176066,0.9075225657123447,Installment,"High Util, Low Repay"
C10080,7.45508935392666,1.0,6.408709993751677,6.408709993751677,0.0,0.0,1.0,0.6931471805599453,0.0,0.0,0.0,2.8903717578961645,9.305741456739435,7.993255493563906,6.437202687884413,0.0,12,0.8011279260856221,1.241728104757082,0.0,2.217261491101903,1.0,0.0,Oneoff,Oneoff Only
C10081,6.362699910035696,1.0,5.771441123130016,0.0,5.771441123130016,0.0,0.75,0.0,0.666667,0.0,0.0,2.1972245773362196,7.313886831633462,7.272336285780348,5.253249611110729,0.0,12,0.8699478207013315,1.3843500355283345,0.0,2.6266960522200953,0.0,1.0,Installment,Installments Only
C10082,7.095658461149205,1.0,0.0,0.0,0.0,3.6718808174590887,0.0,0.0,0.0,0.0800423999811814,0.6931471805599453,0.0,7.0909098220799835,3.410443537249367,9.017203056528027,0.0,12,1.0006696797996832,0.3782152310278039,0.0,0.0,0.0,0.0,Mixed,"High Util, Low Repay"
C10083,8.794039869027245,1.0,5.965274564017741,5.965274564017741,0.0,8.438784972903889,0.583333,0.4595321188521022,0.0,0.34830692956230574,2.0794415416798357,2.0794415416798357,8.853808274977197,7.393621869780999,7.825805398226253,0.0,12,0.9932494126715087,0.9447745623034263,1.4146515608529149,2.8686906770164895,1.0,0.0,Oneoff,"High Util, Low Repay"
C10084,2.910041642177587,0.909091,5.504721593857949,3.718680945350726,5.326127067187304,0.0,0.666667,0.1541509655415032,0.583333,0.0,0.0,2.639057329615259,8.517393171418904,5.882770932843391,4.808302162738161,0.1670539308170005,12,0.3416587192361353,1.2234611581675967,0.0,2.0858666206620327,0.6755438730089368,0.9675561200279563,Installment,Installments Only
